ind,Province/State,Country/Region,First confirmed date in country (Est.),Lat,Long,1/21/2020 10:00 PM,1/22/2020 12:00 PM,1/23/2020 12:00 PM,1/24/2020 12:00 PM,1/25/2020 10:00 PM,1/26/2020 11:00 PM,1/27/2020 8:30 PM,1/28/2020 11:00 PM,1/29/2020 9:00 PM,1/30/2020 11:00 AM,1/31/2020 7:00 PM,2/1/2020 10:00 AM,2/2/2020 9:00 PM,2/3/2020 9:00 PM
37,California,US,1/26/2020,36.7783,-119.41799999999999,,,,,,2.0,2.0,2.0,2.0,2.0,3.0,3.0,4,4
38,Arizona,US,1/26/2020,34.0489,-111.094,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
39,Macau,Macau,1/22/2020,22.1987,113.5439,,1.0,2.0,2.0,2.0,6.0,6.0,7.0,7.0,7.0,7.0,7.0,8,8
40,Hong Kong,Hong Kong,1/23/2020,22.3193,114.1694,,,2.0,2.0,5.0,8.0,8.0,8.0,10.0,10.0,13.0,13.0,15,15
41,,Singapore,1/23/2020,1.3521,103.8198,,,1.0,3.0,3.0,4.0,5.0,7.0,10.0,10.0,16.0,18.0,18,18
42,,Vietnam,1/23/2020,21.0278,105.8342,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,6.0,6,8
43,,France,1/24/2020,46.2276,2.2137,,,,2.0,3.0,3.0,3.0,4.0,5.0,5.0,6.0,6.0,6,6
44,,Nepal,1/25/2020,28.3949,84.124,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1,1
45,,Malaysia,1/25/2020,4.2105,101.9758,,,,,3.0,4.0,4.0,7.0,7.0,8.0,8.0,8.0,8,8
46,Ontario,Canada,1/26/2020,43.6532,-79.3832,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,3.0,3,3
47,British Columbia,Canada,1/28/2020,49.2827,-123.12100000000001,,,,,,,,1.0,1.0,1.0,1.0,1.0,1,1
48,New South Wales,Australia,1/26/2020,-33.8688,151.2093,,,,,,3.0,3.0,3.0,4.0,4.0,4.0,4.0,4,4
49,Victoria,Australia,1/26/2020,-37.8136,144.9631,,,,,,1.0,1.0,1.0,2.0,3.0,3.0,4.0,4,4
50,Queensland,Australia,1/27/2020,-27.4698,153.0251,,,,,,,1.0,1.0,1.0,2.0,2.0,2.0,2,2
51,,Cambodia,1/27/2020,12.5657,104.991,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
52,,Sri Lanka,1/27/2020,7.8731,80.7718,,,,,,,1.0,1.0,1.0,1.0,1.0,1.0,1,1
53,Bavaria,Germany,1/27/2020,51.1657,10.4515,,,,,,,1.0,4.0,4.0,4.0,7.0,7.0,10,10
54,,Finland,1/29/2020,61.9241,25.7482,,,,,,,,,1.0,1.0,1.0,1.0,1,1
55,,United Arab Emirates,1/29/2020,23.4241,53.8478,,,,,,,,,4.0,4.0,4.0,4.0,5,5
56,,Philippines,1/29/2020,12.8797,121.774,,,,,,,,,1.0,1.0,1.0,1.0,2,2
57,,India,1/29/2020,20.5937,78.9629,,,,,,,,,1.0,1.0,1.0,1.0,2,2
58,,Italy,1/31/2020,41.8719,12.5674,,,,,,,,,,,2.0,2.0,2,2
59,,UK,1/31/2020,55.3781,-3.4360000000000004,,,,,,,,,,,2.0,2.0,2,2
60,,Russia,1/31/2020,61.523999999999994,105.3188,,,,,,,,,,,2.0,2.0,2,2
61,,Sweden,1/31/2020,60.1282,18.6435,,,,,,,,,,,1.0,1.0,1,1
62,,Spain,2/1/2020,40.4637,-3.7492,,,,,,,,,,,,1.0,1,1
63,South Australia,Australia,2/1/2020,-34.9285,138.6007,,,,,,,,,,,,2.0,2,2
64,"Boston, MA",US,2/2/2020,42.3601,-71.0589,,,,,,,,,,,,,1,1
