ind,Province/State,Country/Region,Lat,Long,datetime,confirmed_case
202,Guizhou,Mainland China,26.81536,106.8748,2020-01-24,3.0
203,Hainan,Mainland China,19.19673,109.7455,2020-01-24,8.0
204,Hebei,Mainland China,38.0428,114.5149,2020-01-24,2.0
205,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-24,4.0
206,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-24,9.0
207,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-24,549.0
208,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-24,24.0
209,Inner Mongolia,Mainland China,44.09448,113.9456,2020-01-24,1.0
210,Jiangsu,Mainland China,32.97027,119.464,2020-01-24,9.0
211,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-24,18.0
212,Jilin,Mainland China,43.66657,126.1917,2020-01-24,3.0
213,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-24,4.0
214,Ningxia,Mainland China,37.26923,106.1655,2020-01-24,2.0
216,Shaanxi,Mainland China,35.19165,108.8701,2020-01-24,5.0
217,Shandong,Mainland China,36.34377,118.1529,2020-01-24,15.0
218,Shanghai,Mainland China,31.20327,121.4554,2020-01-24,20.0
219,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-24,1.0
220,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-24,15.0
221,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-24,8.0
223,Xinjiang,Mainland China,41.11981,85.17822,2020-01-24,2.0
224,Yunnan,Mainland China,24.97411,101.4868,2020-01-24,5.0
225,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-24,43.0
226,,Thailand,13.7563,100.5018,2020-01-24,5.0
227,,Japan,35.6762,139.6503,2020-01-24,2.0
228,,South Korea,37.5665,126.978,2020-01-24,2.0
229,Taiwan,Taiwan,23.6978,120.9605,2020-01-24,3.0
230,Washington,US,47.7511,-120.74,2020-01-24,1.0
231,Illinois,US,40.6331,-89.3985,2020-01-24,1.0
234,Macau,Macau,22.1987,113.5439,2020-01-24,2.0
235,Hong Kong,Hong Kong,22.3193,114.1694,2020-01-24,2.0
236,,Singapore,1.3521,103.8198,2020-01-24,3.0
237,,Vietnam,21.0278,105.8342,2020-01-24,2.0
238,,France,46.2276,2.2137,2020-01-24,2.0
260,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-25,60.0
261,Beijing,Mainland China,40.18238,116.4142,2020-01-25,51.0
262,Chongqing,Mainland China,30.05718,107.874,2020-01-25,75.0
263,Fujian,Mainland China,26.07783,117.9895,2020-01-25,18.0
264,Gansu,Mainland China,36.0611,103.8343,2020-01-25,7.0
265,Guangdong,Mainland China,23.33841,113.42200000000001,2020-01-25,98.0
266,Guangxi,Mainland China,23.829079999999998,108.7881,2020-01-25,33.0
267,Guizhou,Mainland China,26.81536,106.8748,2020-01-25,5.0
268,Hainan,Mainland China,19.19673,109.7455,2020-01-25,19.0
269,Hebei,Mainland China,38.0428,114.5149,2020-01-25,13.0
270,Heilongjiang,Mainland China,47.861999999999995,127.7622,2020-01-25,15.0
271,Henan,Mainland China,33.882020000000004,113.61399999999999,2020-01-25,83.0
272,Hubei,Mainland China,30.975640000000002,112.2707,2020-01-25,1052.0
273,Hunan,Mainland China,27.610409999999998,111.7088,2020-01-25,69.0
274,Inner Mongolia,Mainland China,44.09448,113.9456,2020-01-25,7.0
275,Jiangsu,Mainland China,32.97027,119.464,2020-01-25,31.0
276,Jiangxi,Mainland China,27.614009999999997,115.7221,2020-01-25,36.0
277,Jilin,Mainland China,43.66657,126.1917,2020-01-25,4.0
278,Liaoning,Mainland China,41.292840000000005,122.6086,2020-01-25,19.0
279,Ningxia,Mainland China,37.26923,106.1655,2020-01-25,4.0
280,Qinghai,Mainland China,35.65945,96.02564,2020-01-25,1.0
281,Shaanxi,Mainland China,35.19165,108.8701,2020-01-25,15.0
282,Shandong,Mainland China,36.34377,118.1529,2020-01-25,39.0
283,Shanghai,Mainland China,31.20327,121.4554,2020-01-25,40.0
284,Shanxi,Mainland China,37.577690000000004,112.2922,2020-01-25,9.0
285,Sichuan,Mainland China,30.617140000000003,102.7103,2020-01-25,44.0
286,Tianjin,Mainland China,39.293620000000004,117.333,2020-01-25,13.0
288,Xinjiang,Mainland China,41.11981,85.17822,2020-01-25,4.0
289,Yunnan,Mainland China,24.97411,101.4868,2020-01-25,11.0
290,Zhejiang,Mainland China,29.182509999999997,120.0985,2020-01-25,104.0
291,,Thailand,13.7563,100.5018,2020-01-25,7.0
292,,Japan,35.6762,139.6503,2020-01-25,2.0
293,,South Korea,37.5665,126.978,2020-01-25,2.0
294,Taiwan,Taiwan,23.6978,120.9605,2020-01-25,3.0
295,Washington,US,47.7511,-120.74,2020-01-25,1.0
296,Illinois,US,40.6331,-89.3985,2020-01-25,1.0
299,Macau,Macau,22.1987,113.5439,2020-01-25,2.0
300,Hong Kong,Hong Kong,22.3193,114.1694,2020-01-25,5.0
301,,Singapore,1.3521,103.8198,2020-01-25,3.0
302,,Vietnam,21.0278,105.8342,2020-01-25,2.0
303,,France,46.2276,2.2137,2020-01-25,3.0
304,,Nepal,28.3949,84.124,2020-01-25,1.0
305,,Malaysia,4.2105,101.9758,2020-01-25,3.0
325,Anhui,Mainland China,31.825709999999997,117.2264,2020-01-26,70.0
326,Beijing,Mainland China,40.18238,116.4142,2020-01-26,68.0
327,Chongqing,Mainland China,30.05718,107.874,2020-01-26,110.0
